school,child rate 1km,child rate outside,pedestrian rate outside,population
Selly Oak Trust School,1,0,0,1,2
Rednal Hill Junior School,1,0,0,1,2
Rednal Hill Infant School,1,0,0,1,2
Paget Primary School,1,0,0,1,2
Nelson Junior and Infant School,1,0,0,1,2
Moor Green Primary Academy,1,0,0,1,2
Maney Hill Primary School,1,0,0,1,2
Little Sutton Primary School,1,0,0,1,2
Holy Trinity CE Primary Academy (Handsworth),1,0,1,0,2
Holland House Infant School and Nursery,1,0,1,0,2
Hillstone Primary School,1,0,0,1,2
Gilbertstone Primary School,1,0,0,1,2
Coppice Primary School,1,0,0,1,2
Colmore Junior School,1,0,0,1,2
Colmore Infant and Nursery School,1,0,0,1,2
Cofton Primary School,1,0,0,1,2
Cherry Orchard Primary School,1,0,0,1,2
Calshot Primary School,1,0,0,1,2
Bournville Junior School,1,0,0,1,2
Bournville Infant School,1,0,0,1,2
Boldmere Junior School,1,0,0,1,2
Boldmere Infant School and Nursery,1,0,0,1,2
Blackwater Academy,1,1,0,0,2
Allens Croft Primary School,1,0,0,1,2
Woodcock Hill Primary School,1,0,0,0,1
Water Mill Primary School,1,0,0,0,1
Victoria School,1,0,0,0,1
Tame Valley Academy,1,0,0,0,1
Silver Birch,1,0,0,0,1
Our Lady of Fatima Catholic Primary School,1,0,0,0,1
Moor Hall Primary School,1,0,0,0,1
Minworth Junior and Infant School,1,0,0,0,1
Lindsworth School,1,0,0,0,1
Langley School,1,0,0,0,1
Hawkesley Church Primary Academy,1,0,0,0,1
Guardian Angels Catholic Primary School,1,0,0,0,1
Elmhurst Ballet School,1,0,0,0,1
Deykin Avenue Junior and Infant School,1,0,0,0,1
City United Academy (CUA),1,0,0,0,1
Brookvale Primary School,1,0,0,0,1
Springfield House Community Special School,0,0,0,0,0
Skilts School,0,0,0,0,0
Reaside Academy,0,0,0,0,0
Hunters Hill College,0,0,0,0,0
